"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"7060","fr","en","- Programma de Epidemiologia Aplicada de Campo (PEAC)","- Programma de Epidemiologia Aplicada de Campo (PEAC)",8,8
"5764","fr","en","- Programma di formazione in epidemiologia applicata (PROFEA )","- Programma di formazione in epidemiologia applicata (PROFEA )",9,9
"6689","fr","en","- Programme de formation à l'épidémiologie de terrain (PROFET)","- Programme de formation à l'épidémiologie de terrain (PROFET)",9,9
"6398","fr","en","- Encourager, lancer et coordonner des études scientifiques","- Promoting, initiating and coordinating scientific studies",7,8
"6328","fr","en","- de fournir un résumé des menaces liées aux maladies transmissibles observées en 2007, les catégoriser et souligner les principaux problèmes","- provide a summary of the threats related to communicable diseases which were monitored in 2007, categorize them, pinpoint major issues",21,21
"5177","fr","en","- fournira, adaptera ou développera des informations de fond ainsi qu’une documentation et des directives en matière de recherche et de réaction;","- Providing access to, adapting or developing background documentation, scientific documentation and investigation &amp; response guidelines;",16,22
"5446","fr","en","- Évaluation rapide des situations d’urgence complexes","- Rapid assessment of complex emergency situations",7,7
"5887","fr","en","- une référence du plan à d’autres plans, des conseils et des procédures d’opération standard","- Reference of the plan with other plans, guidelines and Standard Operating Procedures",13,15
"7028","fr","en","- d’examiner le cadre terminologique et méthodologique du renseignement épidémique","- review terminology and methods framework for epidemic intelligence",9,10
"6468","fr","en","- Soutenir le développement des capacités de communication des États membres.","- Support the development of Member States communication capacities.",9,11
"4999","fr","en","- à leur demande, apportera un soutien aux États membres en matière de réaction;","- Supporting MS, upon request, in response activities;",8,14
"6622","fr","en","- fonctions de soutien dans les unités administratives et exécutives. Par exemple: postes de secrétaire et d’assistant(e)","- Supportive posts in administration and in operational units e.g. secretaries and assistants",13,17
"5011","fr","en","- la première consultation avec les États membres a eu lieu en décembre 2005 en présence de 70 participants environ.","- The 1st consultation with the MS occurred in December 2005 , with approximately 70 participants.",16,20
"4854","fr","en","- les mécanismes d’alerte et leur mode d’activation","- The mechanisms for alert and activation",7,8
"5007","fr","en","- les procédures de réaction et le rôle du centre d’intervention urgente","- The preparedness steps and the role of the Emergency Operation Centre",12,12
"6624","fr","en","- La deuxième consultation a eu lieu en septembre 2007 (voir le rapport).","- The second one was held in September 2007. See the report",12,13
"6876","fr","en","- la création d’une structure de gestion des menaces sanitaires","- The set up of a dedicated PHE management structure",10,10
"5098","fr","en","- Formation de formateurs ou semaine de préparation au cours introductif (Mahon, 22 - 26 septembre 2008)","- Training of Trainers activity or preparatory week for the introductory course (Mahon, 22 to 26 September 2008)",18,15
"6285","fr","en","- Deux salles fonctionnelles accueilleront les activités quotidiennes des groupes opérationnels en cas de menace sanitaire.","- Two Functional Rooms that will hosts daily activities of the Operational Grioups upon a PHE.",16,16
"5495","fr","en","- utiliser moins d’antibiotiques, c’est-à-dire uniquement lorsqu’ils sont nécessaires au traitement du patient ;","- use less antibiotics, i.e. only when they are needed to treat patients;",13,13
"6656","fr","en","- Questions sur la vaccination pour les épidémiologistes (avril 2008)","- Vaccination issues for epidemiologists (April 2008)",7,10
"6325","fr","en","Le premier exercice de simulation interne, «Brown Lagoon», a eu lieu en juin 2007.","“Brown Lagoon” was the first internal simulation exercise that took place in June 2007.",14,14
"5692","fr","en","«Red wing» était le premier exercice réalisé par ordinateur avec différents participants des États membres.","“Red wing” was the first desktop exercise involving players from EU Member States.",13,15
"5558","fr","en","a) recherche, recueille, rassemble, évalue et diffuse les données scientifiques et techniques pertinentes;","(a) search for, collect, collate, evaluate and disseminate relevant scientific and technical data;",13,13
"4803","fr","en","b) donne des avis scientifiques et fournit une assistance scientifique et technique, y compris en matière de formation;","(b) provide scientific opinions and scientific and technical assistance including training;",11,18
"6288","fr","en","e) assure l'échange d'informations, de compétences et de meilleures pratiques et facilite la définition et l'exécution d'actions communes.","(e) exchange information, expertise and best practices, and facilitate the development and implementation of joint actions.",16,18
"5416","fr","en","(suivre le lien vers les institutions des États membres considérées comme organes compétents)","(see link to institutions in the MS that are CB)",10,13
"6791","fr","en","*Les organes compétents en matière de formation proposent des participants au CEPCM","*The Competent Bodies on   training propose participants to ECDC",10,12
"6700","fr","en","25 Mai 2010 -  Évaluation des menaces par l'ECDC:","25 May 2010 -  ECDC threat assessment:",8,10
"5760","fr","en","description succincte de l’équipe de crise du CEPCM, formation, profil et tâches des membres de l’équipe.","a basic description of ECDC crisis team: training, profile and tasks of team members.",14,16
"6498","fr","en","Une caractéristique de l’éruption est qu’elle s’étend progressivement sur plusieurs jours.","A distinctive feature of the rash is that it gradually expands peripherally over a period of several days.",18,11
"6517","fr","en","Une évaluation générale des risques liés aux maladies transmises par vecteur en Europe a été réalisée et les résultats en seront publiés prochainement.","A general risk assessment of vector-borne diseases in Europe was carried out, the results of which will be published in the near future.",23,23
"4875","fr","en","On observe alors une forte fièvre accompagnée de symptômes généraux et, souvent, de diarrhée.","A high fever then appears accompanied by general symptoms and, often, by diarrhoea.",13,14
"5263","fr","en","Le vaccin, très efficace, permet d’immuniser 95 % des personnes vaccinées ; il doit être recommandé aux touristes voyageant dans les zones endémiques.","A highly effective vaccine is available, providing immunity to 95% of vaccinated persons that should be recommended to travellers to endemic areas.",22,21
"5967","fr","en","Le tableau 1 fournit un lien vers l’offre de cours d’une semaine pour les États membres.","A link to the Portfolio of one-week courses for the MS can be found in table in table 2.",19,16
"5262","fr","en","Une personne peut savoir lire et écrire, mais avoir des connaissances limitées en matière de santé.","A person can be literate and still have limited health literacy.",11,16
"4871","fr","en","Ces symptômes peuvent être suivis d’une phase de crises, voire de coma, entraînant systématiquement le décès du patient.","A phase of seizures and eventually coma follows, which almost invariably lead to the patient’s death.",16,18
"5080","fr","en","les points de contact si vous avez des questions à poser ou des plaintes à formuler.","A point of contact if you have queries or complaints.",10,16
"5052","fr","en","une augmentation des cas a également été observée en Lettonie.","a similar increase in cases was also observed in Latvia.",10,10
"6122","fr","en","une perspective stratégique». Celui-ci a pour finalité d’améliorer la préparation des États membres à la lutte contre les maladies transmissibles.","a strategic perspective” ) to enhance the preparedness of the Member State in the fight against communicable diseases.",18,20
"4853","fr","en","Le Centre développe actuellement un kit destiné à renforcé la surveillance et la réaction.","A toolkit for strengthening surveillance and response is being developed.",10,14
"6709","fr","en","À ce jour, 58 professionnels ont suivi la formation.","A total of 58 professionals have been trained to date.",10,9
"5429","fr","en","Un vaccin est disponible dans certaines régions où la maladie est endémique.","A vaccine is available in some disease endemic areas.",9,12
"6608","fr","en","Chaque année, un exercice interne est réalisé et évalué au sein du CEPCM.","A yearly internal ECDC exercise is conducted and evaluated.",9,13
"5344","fr","en","A, B et C. Les virus influenza A sont les plus dangereux pour l’homme.","A, B and C. The most significant threat to humans arises from the influenza A viruses.",16,14
"5867","fr","en","Chez environ 15 % des patients, ces symptômes sont permanents ou chroniques pendant 6 à 9 mois.","About 15% of patients have prolonged or relapsing symptoms over a 6–9-month period.",13,15
"5346","fr","en","Environ 20 à 50 % des rubéoles restent asymptomatiques.","About 20–50% of rubella infections remain without symptoms.",8,8
"4906","fr","en","L’accroissement de l’activité économique et de l'utilisation de combustibles fossiles au cours du siècle dernier a eu des conséquences sans précédent sur l'environnement.","Accelerating economic activity and fossil fuel combustion over the last century have precipitated an environmental impact of unprecedented proportions.",19,23
"6670","fr","en","La forme aiguë peut être légère à très grave.","Acute illness ranges from a mild to a very severe disease.",11,9
"6437","fr","en","Des contacts directs avec des épidémiologistes et les autorités sanitaires de l’UE ou hors de l’UE constituent également des sources d’information.","Additional information is gathered through direct contact with epidemiologists and health authorities in EU and abroad.",16,21
"6106","fr","en","D’autres cours d’une semaine ont eu lieu en 2008 sur les thèmes suivants:","Additional one-week courses organized in 2008 were:",7,13
"6586","fr","en","Les femmes et les adolescentes présentent souvent des douleurs et une inflammation articulaires.","Adult and adolescent females often manifest joint pain and joint inflammation.",11,13
"4890","fr","en","Forum consultatif – Membres et suppléants – États membres","Advisory Forum - Members and Alternates - Member States",9,9
"7014","fr","en","Depuis 1991, la sécurité des transfusions de sang et de produits sanguins a été améliorée, les tests VHC étant maintenant largement utilisés.","After 1991, blood transfusions and blood products became much safer than before, as routine HCV tests started to become widely available.",21,22
"5889","fr","en","Après une courte période d’incubation de moins de cinq jours, les symptômes types peuvent apparaître: vomissements et diarrhée aqueuse.","After a short incubation period of less than five days, the typical symptoms might develop, characterised by vomiting and watery diarrhoea.",21,19
"5726","fr","en","Après une période d’incubation de 12 jours en moyenne, une forte fièvre accompagnée de symptômes systémiques non spécifiques apparaissait brusquement.","After an average incubation period of 12 days, a high fever accompanied by non-specific general symptoms abruptly appeared.",18,19
"6183","fr","en","Après une période d’incubation de 8 à 10 jours, une maladie de type grippe légère et généralement autolimitée apparaît.","After an incubation of 8-10 days, a mild and usually self-limited flu-like illness develops.",14,19
"6898","fr","en","Après une période d’incubation de 10 à 90 jours (trois semaines en moyenne), les manifestations cliniques apparaissent:","After an incubation period of 10 to 90 days (three weeks on average) clinical symptoms appear:",16,17
"6735","fr","en","Après une période d’incubation comprise entre 3 et 5 jours, les symptômes apparaissent brusquement avec une forte fièvre.","After an incubation period of about 3–5 days symptoms start abruptly with high fever.",14,18
"6661","fr","en","Après une période d’incubation comprise entre cinq et 60 jours, des symptômes aigus ou insidieux peuvent apparaître.","After an incubation period of five to 60 days, symptoms may appear either acutely or insidiously.",16,17
"6914","fr","en","Après une période d’incubation généralement comprise entre 2 et 3 semaines, des symptômes peuvent apparaître, mais la maladie reste souvent asymptomatique.","After an incubation period of, usually, 2–3 weeks, disease symptoms may appear but more frequently they do not.",18,21
"5027","fr","en","Après exposition (par de la nourriture contaminée), la plupart des adultes en bonne santé ne présentent aucun symptôme, sauf les femmes enceintes.","After exposure (via contaminated food) most healthy adults do not develop any symptoms, except in the case of pregnant women.",20,22
"5241","fr","en","Après exposition, la période d’incubation est comprise entre deux et 30 jours (10 jours en moyenne).","After exposure, the incubation period ranges between two and 30 days (with an average of 10 days).",17,16
"6821","fr","en","Après exposition, la période d’incubation varie entre deux et dix jours.","After exposure, the incubation period varies from two to ten days.",11,11
"6417","fr","en","Après la piqûre infectieuse, une période d’incubation de 1 à 6 jours précède les symptômes qui varient selon l’âge du patient:","After the infectious bite, an incubation period of 1–6 days precedes symptoms which tend to vary with the patient’s age:",20,21
"5725","fr","en","Le SIDA se caractérise par la présence d’une ou plusieurs maladies «opportunistes» (autres maladies dues à la diminution de l’immunité).","AIDS is defined by the presence of one or more “opportunistic” illnesses (other illnesses due to decreased immunity).",18,20
"4912","fr","en","Alertes et bulletins d’informationSi vous désirez recevoir les alertes et les bulletins d’information par courrier électronique, veuillez remplir le formulaire ci-dessous.","Alerts and Newsletters Please fill in the form below to get alerts and newsletters via e-mail.",16,21
"5588","fr","en","Tous vous permettent d’afficher les flux RSS de votre choix et de vous y abonner.","All allow you to display and subscribe to the RSS feeds you want.",13,15
"5858","fr","en","Tous les articles de fond et un certain nombre d’articles courts sont également publiés sur support papier sous la forme d’une compilation trimestrielle.","All longer and many of the shorter articles are also published on paper in a quarterly print compilation.",18,23
"6560","fr","en","Tous les agents temporaires se voient proposer un contrat de cinq ans assorti d’une période d’essai de six mois.","All temporary agents are offered a contract of five years, with an initial probation period of six months.",18,19
"6345","fr","en","Toutes les activités de formation du CEPCM suivent la stratégie pluriannuelle élaborée par l’ensemble des États membres.","All training activities of ECDC follow the multi annual training strategy that has been developed with input from all Member States.",21,17
"5424","fr","en","Les suppléants, qui représentent les membres en leur absence, sont désignés de la même manière.","Alternates who represent the member in his/her absence shall be appointed by the same procedure.",15,15
"6034","fr","en","Plus courante dans les régions tropicales, cette maladie est également présente dans les zones tempérées, notamment en Europe.","Although more common in tropical areas of the world, the disease is also present in temperate areas, including Europe.",19,18
"6363","fr","en","Une urgence est un événement exceptionnel qui dépasse ou peut dépasser les capacités de réaction habituellement disponibles.","An emergency is an exceptional event that exceeds or potentially exceeds the capacity of normal resources to cope.",18,17
"5382","fr","en","La Conférence scientifique européenne annuelle sur l’épidémiologie appliquée des maladies infectieuses (ESCAIDE) est un exemple de ce travail.","An example of such work is the annual European Scientific Conference on Applied Infectious Disease Epidemiology (ESCAIDE).",17,18
"6056","fr","en","Un nourrisson infecté par la rubéole pendant la grossesse peut continuer à transmettre le virus pendant un an environ, parfois plus longtemps.","An infant infected with rubella during pregnancy can continue to shed the virus for about one year, sometimes longer.",19,22
"5856","fr","en","Une ancienne génération de vaccins pneumococciques (vaccins polysaccharidiques) est utilisée dans le monde entier.","An older generation of pneumococcal vaccines (polysaccharide vaccines) are registered throughout the world.",13,14
"6265","fr","en","Je suis fier de travailler avec elles!","And I am proud to work with them.",8,7
"4791","fr","en","formation commune sur les aspects épidémiologiques et microbiologiques des enquêtes sur les foyers épidémiques.","and joint training on epidemiological and microbiological aspects of outbreak investigation.",11,14
"4845","fr","en","et d’autres facteurs qui contribuent au caractère unique de chaque situation.","and other factors that contribute to the uniqueness of each situation.",11,11
"6933","fr","en","Déclaration d’intérêt annuelle du directeur, Marc Sprenger","Annual declaration of interest of Director, Marc Sprenger",8,7
"6882","fr","en","Déclaration d’intérêt annuelle de l’équipe Grippe de l’ECDC","Annual declaration of interest, ECDC influenza team",7,8
"6673","fr","en","Les moustiques anophèles sont toujours présents dans ces zones, notamment en Europe.","Anopheles mosquitoes are in fact still present in those areas, including in Europe.",13,12
"5786","fr","en","L’anthrax est une maladie zoonotique (transmissible de l’animal à l’homme) due à la bactérie Bacillus anthracis qui produit des spores.","Anthrax is a zoonotic disease (could be transferred from animals to humans) caused by the spore-producing bacterium Bacillus anthracis.",19,20
"7005","fr","en","Les menaces de bioterrorisme à l’anthrax ont fait l’objet d’enquêtes en Europe.","Anthrax-related bioterrorist threats have been investigated in Europe.",8,12
"5959","fr","en","Une antibiothérapie et une suppléance hydrique sont efficaces.","Antibiotic therapy and fluid replacement are effective.",7,8
"5339","fr","en","L’antibiothérapie a radialement modifié le pronostic de la typhoïde qui, en l’absence de traitement, est associée à un taux de mortalité de 10 %.","Antibiotic therapy has radically changed the prognosis of typhoid, which, untreated, has a 10% death rate.",16,23
"6785","fr","en","Le traitement antibiotique n’est pas efficace (il peut même favoriser le développement du SHU) et","Antibiotic therapy is not helpful (it might even favour HUS development).",11,15
"5041","fr","en","Le traitement antibiotique est efficace s’il est administré à un stade précoce.","Antibiotic treatment is effective if given at an early stage.",10,12
"6713","fr","en","Des antibiotiques sont souvent inutilement prescrits pour des infections virales, contre lesquelles ils n’ont aucun effet.","Antibiotics are often unnecessarily prescribed for viral infections, against which they have no effect.",14,16
"4952","fr","en","Les antibiotiques permettent de réduire la durée de la maladie, en particulier s’ils sont administrés aux stades précoces.","Antibiotics may reduce the duration of the disease, especially if administered in its early stages.",15,18
"6721","fr","en","Antiviraux et résistance aux antiviraux - grippe","Antivirals and Antiviral Resistance – Influenza -",7,7
"5633","fr","en","Toute reproduction à des fins commerciales est soumise à une licence ou à une autorisation préalable.","Any reproduction for commercial purposes will require licensing or prior permission.",11,16
"6850","fr","en","Vous pouvez présenter votre candidature aux postes vacants au sein du CEPCM indiqués ci-après.","Applications are invited for the below mentioned position in the European Centre for Disease Prevention and Control (the Centre):",19,14
"6593","fr","en","La méthode de typage appropriée et son utilité varient en fonction des agents pathogènes.","Appropriate typing method and purpose vary between different pathogens.",9,14
"4943","fr","en","Environ 20 à 30 % des IASS pourraient être évités par la mise en place de mesures d’hygiène strictes et de programmes de contrôle.","Approximately 20–30% of HCAI are considered to be preventable by intensive hygiene and control programmes.",15,23
"5891","fr","en","Archives des documents financiers des années précédentes","Archive of financial documents from all previous years",8,7
"6088","fr","en","Vous aimeriez savoir ce qui se passe dans les coulisses?","Are you curious to know what is going on behind the scene?",12,10
"5895","fr","en","Les arénavirus sont des virus enveloppés (d’environ 120 nm de diamètre) dont le génome est composé de deux segments d’ARN monocaténaire de polarité négative.","Arenaviruses are enveloped viruses (about 120 nm diameter) with a bi-segmented negative strand RNA genome.",15,23
"5747","fr","en","ARHAI – Résistance aux antimicrobiens et infections nosocomiales FWD – Maladies d’origine alimentaire et liées à l’eau","ARHAI - Antimicrobial Resistance and Healthcare-Associated Infections FWD - Food- and Waterborne Diseases",13,17
"6845","fr","en","L’article 12 du règlement fondateur de l’ECDC précise certains détails sur le rôle du Centre en matière de communication:","Article 12 of the ECDC Founding Regulation gives details on the Centre’s role in communications:",15,19
"5580","fr","en","De ce fait, les structures organisationnelles et les canaux de communication qui sont habituellement suffisants, sont submergés.","As a result, organizational structures and communication links, which are adequate under normal conditions, are overwhelmed.",16,17
"6061","fr","en","Cette maladie est maintenant essentiellement limitée aux pays tropicaux.","As a result, the disease is now essentially limited to tropical countries.",12,9
"6915","fr","en","Le journal  Eurosurveillance  est hébergé par le Centre depuis le mois de mars 2007.","As of March 2007, the journal  Eurosurveillance  is hosted by ECDC.",13,16
"6482","fr","en","Le journal Eurosurveillance est hébergé par le Centre depuis le mois de mars 2007.","As of March 2007, the journal Eurosurveillance is hosted by ECDC.",11,14
"6327","fr","en","ASPHER - le CEPCM a participé à la 5ème conférence TEPHINET à Kuala Lumpur","ASPHER - ECDC participated in TEPHINET 5TH Conference in Kuala Lumpur",11,14
"6814","fr","en","Évaluation de la capacitÉ ÉpidÉmiologique, des ressources de formation et des besoins des États membres","Assessment of epidemiological capacity, training resources and needs in the Member States",12,15
"6720","fr","en","Au moins six types de FRT sont présents en Europe ou près de ses frontières.","At least six TBRF species are known to occur in Europe or close to its boundaries.",16,15
"7018","fr","en","la disponibilité (ou non) de moyens humains et matériels pour y faire face;","availability of human and material resources to address it;",9,13
"5380","fr","en","disponibilité des équipements comme la visioconférence, la téléconférence, etc.;","availability of systems equipment, e.g. videoconference, teleconference, etc ;",9,9
"5009","fr","en","La grippe aviaire est une maladie des oiseaux due à des virus grippaux similaires à ceux provoquant la maladie chez l’homme.","Avian influenza is a disease in birds caused by influenza viruses that are similar to those causing disease in humans.",20,21
"6222","fr","en","La babésiose est une maladie provoquée par un parasite du genre  Babesia , qui infecte et détruit les globules rouges du sang.","Babesiosis is an illness caused by a parasite of the  Babesia spp ., which infects and destroys the red blood cells.",22,23
"6191","fr","en","Les enfants de femmes infectées par le VIH peuvent être infectés avant ou pendant l’accouchement, ou par l’allaitement.","Babies born to HIV-infected women may become infected before or during birth or through breast-feeding.",15,18
"6808","fr","en","Selon cette déclaration de mission et les textes qui suivent dans le règlement fondateur, les activités principales du Centre sont:","Based on this mission statement and following texts in the Founding Regulation there are some core activities within the Centre, mainly:",21,20
"5247","fr","en","concepts fondamentaux de l’épidémiologie, principes de surveillance, enquêtes sur les foyers épidémiques et méthodes analytiques d’épidémiologie.","basic epidemiology concepts, principles of surveillance, outbreak investigation and analytical epidemiological methods.",12,16
"5271","fr","en","Assurez-vous de bien mentionner la page ou le fichier considéré lorsque vous signalez le problème rencontré.","Be sure to specify the web page or file being referenced in reporting the accessibility issue.",16,16
"5983","fr","en","En raison de l’absence d’immunité, il est souvent plus agressif et provoque une maladie grave et de nombreux décès.","Because of the lack of human immunity the virus is often more aggressive and causes more serious disease and deaths.",20,19
"5865","fr","en","Parce qu’ils visent souvent des groupes particuliers représentant différentes croyances, valeurs, attitudes, normes et perceptions sociales et culturelles.","Because these are often addressing specific groups representing different sets of beliefs, values, attitudes, social and cultural norms and perceptions.",20,18
"6896","fr","en","Avant de rejoindre les institutions de l’Union européenne, Mme Jakab était secrétaire d’État auprès du ministère de la santé hongrois.","Before joining the EU, she was Secretary of State in Hungarys Ministry of Health.",14,20
"6142","fr","en","De taille modeste, l’ECDC dépend fortement de l’expertise et des infrastructures (laboratoires de microbiologie, par exemple) des États membres.","Being a small agency, ECDC will heavily rely on the expertise and infrastructures (e.g. microbiological laboratories) in the Member States.",20,19
"5671","fr","en","Outre Yersinia pestis (voir Peste), le groupe des bactéries Yersinia comprend également deux espèces fortement pathogènes chez l’homme (provoquant principalement une entérite) :","Besides Yersinia pestis (see plague) the Yersinia group of bacteria also includes two species frequently causing illness (mainly enteritis) in humans;",21,22
"6852","fr","en","Des symptômes tels que des ballonnements, une fatigue et une malabsorption des vitamines et des graisses peuvent également apparaître.","Bloating, fatigue, and malabsorption of vitamins and fats may occur.",10,19
"5602","fr","en","Les puces suceuses de sang transmettent la bactérie aux animaux. Différentes espèces de rongeurs peuvent notamment être infectées.","Blood sucking fleas transmit the bacteria among animals, and various species of rodents can become infected.",16,18
"6475","fr","en","Ces deux maladies rares sont associées à des taux de mortalité élevés.","Both are rare diseases, but have the potential of causing high death rates.",13,12
"6153","fr","en","Il s’agit dans les deux cas de zoonoses, de nombreux animaux, mais principalement les porcs, pouvant servir de réservoirs.","Both are zoonoses, with a large number of animals, but mainly pigs, acting as reservoirs.",15,19
"6014","fr","en","Les deux infections répondent bien aux antibiotiques, mais en l’absence de traitement, les douleurs abdominales peuvent durer longtemps.","Both infections respond well to antibiotics, but untreated symptoms of abdominal pain may last for a long while.",18,18
"6797","fr","en","Les deux réseaux reçoivent des financements du CEPCM par le biais d’appels d’offres.","Both networks receive funding from ECDC through public tenders.",9,13
"5155","fr","en","Le botulisme est une maladie paralytique grave due à une toxine produite par la bactérie Clostridium botulinum et qui bloque la transmission nerveuse.","Botulism is a serious paralytic illness caused by a nerve toxin produced by the bacterium Clostridium botulinum.",17,23
"5791","fr","en","Souvent mortelle, on estime qu'elle ne concerne qu’un cas sur 10 000.","Brain infection is believed to occur in only one in 10 000 cases, but it often leads to death.",19,11
"5412","fr","en","L’atteinte cérébrale est fréquente, mais le plus souvent asymptomatique.","Brain involvement is frequent, but mostly without symptoms.",8,9
"5896","fr","en","La brucellose est une infection due à la bactérie Brucella.","Brucellosis is an infection caused by Brucella bacteria.",8,10
"4753","fr","en","La brucellose est présente dans le monde entier, mais plus particulièrement dans les pays méditerranéens.","Brucellosis occurs worldwide but the Mediterranean region has been particularly affected.",11,15
"6016","fr","en","Le directeur est régulièrement invité à présenter à l’ENVI les informations les plus récentes et les évaluations sur la situation épidémiologique.","By invitation, the Director will regularly address the ENVI to give updates and assessments on the epidemiological situation.",18,21
"7084","fr","en","Le portage asymptomatique de pneumocoques dans le nez de jeunes enfants est fréquent.","Carriage of pneumococci without symptoms in the nose of young children is common.",13,13
"5629","fr","en","L’ICD est également en constante augmentation chez un certain nombre d’espèces animales.","CDI is also recognised increasingly in a variety of animal species.",11,12
"6159","fr","en","cas de Chikungunya dans l’OCÉAN INDIEN – FÉVRIER/MarS 2006","Chikungunya in the Indian Ocean – Feb/March 2006",8,9
"7010","fr","en","Le chikungunya est présent dans certaines régions d’Afrique, en Asie du Sud-Est et sur le sous-continent indien.","Chikungunya is present in parts of Africa, Southeast Asia and on the Indian sub-continent.",14,17
"5092","fr","en","Le chikungunya est présent dans certaines régions d’Afrique, en Asie du Sud-Est et sur le sous-continent indien.","Chikungunya is present in parts of Africa, Southeast Asia and on the Indian subcontinent.",14,17
"4958","fr","en","La surveillance de la chlamydiose montre que le nombre d’infections à  Chlamydia augmente en Europe:","Chlamydia disease surveillance shows that the number of Chlamydia infections is increasing in Europe:",14,16
