"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"916","de","en","Als Resultat kontinuierlicher Weiterentwicklung der letzten Jahre sind Simulatoren mittlerweile sowohl im Studentenunterricht als auch in der ärztlichen Anfängerausbildung sehr gut einsetzbar.","As a result of continuous further development in recent years, simulators are now very well suited for both student teaching and beginner medical training.",24,22
"1034","de","en","Aufgrund der Studienergebnisse stellt die Nabelherniotomie im Kindesalter durch Direktnaht nach Spitzy seit nunmehr 100 Jahren das Mittel der Wahl und den Goldstandard dar.","As confirmed in our study, umbilical herniotomy by direct suture in childhood has been the method of choice and gold standard for more than 100 years.",26,24
"789","de","en","Wie erwartet konnten wir signifikante negative Zusammenhänge zwischen Ressourcen und Symptomatik sowie Traumatisierung und Ressourcen finden.","As expected, we found negative associations between resources and childhood trauma as well as resources and symptoms.",17,16
"1129","de","en","Zeitgleich wurde eine webbasierte Recherche der Internetauftritte der obersten Gesundheitsbehörden der Bundesländer zu offiziellen Stellungnahmen durchgeführt.","At the same time, a web-based search of the websites of the supreme health authorities of the federal states for official statements was carried out.",25,16
"874","de","en","Von den 30 Treffern der systematischen Literaturrecherche konnte, nach Screening von Titel und Abstract anhand festgelegter Ausschlusskriterien, keine Arbeit eingeschlossen werden.","Based on the exclusion criteria, all studies from the systematic literature search were excluded after title and abstract screening.",19,21
"1071","de","en","Der endovaskulär-interventionellen Therapie fällt dank rascher technischer Entwicklungen eine immer zentralere Rolle zu.","Because of rapid technical developments, interventional endovascular therapy regimens play an increasingly important role.",14,13
"1128","de","en","Im Zeitraum September 2016–Mai 2018 erfolgte per E-Mail mit behördlichen Ansprechpartnern eine Erhebung zum Umfang der UMA-Erstuntersuchungen.","Between September 2016 and May 2018, a survey on the scope of the UMA initial investigations was conducted by e-mail with official contact persons.",24,17
"1147","de","en","Aufgabe der Blutdruckregulation ist die Erhaltung eines adäquaten Herzzeitvolumens und eines ausreichenden Perfusionsdrucks für die Organe.","Blood pressure regulation aims at maintaining adequate cardiac output and a sufficient perfusion pressure for the organs.",17,16
"784","de","en","Kindheitstraumata können sich negativ auf die Ausbildung personaler und sozialer Ressourcen im Erwachsenenalter auswirken.","Childhood trauma can have a negative impact on the development of personal and social resources in later adulthood.",18,14
"1170","de","en","Ein signifikant höheres Risiko für Nachblutungen hatten Kinder mit anamnestisch häufigem Nasenbluten.","Children with frequent epistaxis had a significant higher risk of postoperative hemorrhage.",12,12
"798","de","en","In der 2D-SWE ist ein fundiertes Wissen über die physikalischen Grundlagen erforderlich, da sich Radiologen mit technischen Einschränkungen und einer Vielzahl von Artefakten auseinandersetzen müssen.","Clear knowledge of the underlying physical basis is necessary in 2D-SWE because radiologists have to deal with technical restrictions and a wide range of artifacts.",25,25
"1019","de","en","Abhängig vom Phänotyp kann auf die Gestationszeit geschlossen werden, in der die okuläre Entwicklung tiefgreifend gestört wurde.","Depending on the disease phenotype, it is possible to conclude on the gestational period in which ocular development was profoundly disrupted.",21,17
"1042","de","en","Die Unterschiede zwischen den absoluten rFTD-Werten waren nicht signifikant.","Differences of absolute rFTD values were not significant.",8,9
"866","de","en","Neue Informations- und Kommunikationstechnologien (IKT) machen es vielfach möglich, zu jeder Zeit an jedem Ort zu arbeiten.","Due to new Information and Communication Technologies (ICT), working at any time from any place has become possible.",18,17
"953","de","en","Die dynamische retinale Gefäßanalyse besitzt ein weiteres diagnostisches Anwendungsspektrum als die statische, da sie das Verhalten retinaler Gefäße zeitkontinuierlich untersucht.","Dynamic retinal vessel analysis possesses a broader spectrum of diagnostic applications than the static procedure, as it examines changes in vessel diameter continuously over time.",25,20
"1134","de","en","Die Bemühungen einer Angleichung des Untersuchungsumfanges auf Bundesebene sollten weiter vorangetrieben werden.","Efforts to harmonise the scope of the investigation at the federal level should be pursued further.",16,12
"810","de","en","Obwohl die unterschiedlichen Modalitäten überwiegend sicher durchführbar sind, bietet der HIFU mit seiner Nicht-Invasivität einen entscheidenden methodischen Vorteil.","Even though all strategies appeared to be feasible, the unique feature of noninvasiveness represents a substantial advantage of the HIFU procedure.",21,18
"975","de","en","Die extraokuläre Motilität war stets erhalten.","Extraocular movements were always preserved.",5,6
"969","de","en","Augenbewegungen wurden für alle Patienten durch Videos oder mittels Eyetracking dokumentiert.","Eye movements were quantified, either from video or eye tracking recordings, in all patients.",14,11
"867","de","en","Flexibilisierung, erweiterte Erreichbarkeit und Entgrenzung von Arbeit und Privatleben können möglicherweise daraus resultieren.","Flexibility, availability and the dissolution of boundaries between work and private life are the possible results of this development.",19,13
"942","de","en","Bei angehenden Ärzten besteht besonders im Umgang mit der Sonografie eine Lücke zwischen den gestiegenen Anforderungen im klinischen Alltag und den bisher erworbenen Fähigkeiten.","For prospective physicians, there is a gap between the increased requirements in everyday clinical practice and the skills acquired thus far, especially when dealing with sonography.",26,24
"832","de","en","Für die statistische Analyse wurden die Interobserver-Variabilität und die Genauigkeit der Läsionserkennung unter Berücksichtigung der individuellen Berufserfahrung bewertet.","For statistical analysis, the interobserver variability and accuracy of lesion detection were evaluated, taking the individual level of professional experience into account.",22,18
"823","de","en","Fortschr Röntgenstr 2019; 191: 216 – 227.","Fortschr Röntgenstr 2019; 191: 216 - 227.",5,5
"1089","de","en","Fortschr Röntgenstr 2019; DOI: 10.1055/a-0690-9365.","Fortschr Röntgenstr 2019; DOI: 10.1055/a-0690-9365.",5,5
"927","de","en","Fortschr Röntgenstr 2019; DOI: 10.1055/a-0759-2248.","Fortschr Röntgenstr 2019; DOI: 10.1055/a-0759-2248.",5,5
"1080","de","en","Weitere Evidenz wird zukünftig durch mehrere großangelegte randomisierte Multicenterstudien erwartet.","Further evidence can be expected from ongoing randomized multicenter trials.",10,10
"1045","de","en","Zur Definition valider Schwellenwerte und zur Evaluation der diagnostischen und prognostischen Relevanz sind weitere Studien nötig.","Further studies are needed to define valid thresholds for rFTD and to evaluate the diagnostic and prognostic value.",18,16
"779","de","en","Das Ganzfeld-ERG zeigte typische Anzeichen einer Stäbchen-Zapfen-Dystrophie.","Ganzfeld-ERG showed typical signs of rod-cone dystrophy.",7,7
"1107","de","en","Die endokrine Orbitopathie ist die häufigste extrathyroidale Manifestation einer Autoimmunthyreopathie.","Graves' orbitopathy is the most common extrathyroidal manifestation of Graves' disease.",11,10
"977","de","en","HBP ist eine harmlose monokuläre Augenbewegungsstörung, die stets eine Begleiterscheinung des Sehverlustes ist.","HBP is a benign monocular eye movement disorder that is always secondary to severe visual loss.",16,13
"1173","de","en","Hier empfiehlt sich die Bestimmung der PTT sowie der PFA-100 und eine weitere vWS-Stufendiagnostik anzuschließen.","Here it is advisable to determine the PTT as well as PFA-100 and, to continue with a further VWD step-diagnostics.",20,15
"773","de","en","Hier berichten wir über 3 RP-Patienten mit Mutationen im PDE6Β-Gen, die bisher nicht beschrieben wurden.","Here, we report on three RP patients with mutations in the PDE6Β Gene that have not been described previously.",19,15
"827","de","en","Höhere Raten von verpassten Pathologien, verursacht durch mangelnde Berufserfahrung oder systematische Suche, legen nahe, dass ein methodischer Ansatz zur radiologischen Analyse erlernt werden kann.","Higher rates of missed pathologies, caused by a lack of professional experience or systematic search, suggest that a methodical approach to radiological analysis can be learned.",26,24
"884","de","en","Eine einheitliche Integration in das Lehrcurriculum wäre eine zukunftsgerichtete Aufwertung der Plastischen Chirurgie.","However integration of Plastic Surgery with its interdisciplinary responsibility in the common university curriculum will be a forward looking appreciation of Plastic Surgery.",23,13
"878","de","en","Daher ist die Entwicklung der akademischen Plastischen Chirurgie problematisch.","However the standing of academic Plastic Surgery is particularly difficult.",10,9
"1017","de","en","Notwendig für die Entwicklung aller Maßnahmen ist jedoch die sektorenübergreifende Perspektive auf das System der Notfallversorgung.","However, a prerequisite for the development of such measures is the inclusion of a cross-sectoral perspective in the system of emergency care.",22,16
"1050","de","en","Allerdings ist eine Antikoagulation bei Tumorpatienten mit einem gehäuften Auftreten von Blutungen und auch von Rezidiven verbunden.","However, anticoagulation of cancer patients is associated with an increased risk of bleeding and recurrence.",15,17
"790","de","en","Allerdings gab es entgegen unserer Vorhersage nur einen Zusammenhang zwischen Traumatisierung und posttraumatischer, jedoch nicht depressiver Symptomatik.","However, contrary to our predictions, we could only find a significant association between childhood traumatization and posttraumatic, but not depressive symptoms.",21,17
"978","de","en","Deswegen ist es wichtig, möglichst frühe Erkrankungsmanifestationen zu detektieren, um einen maximalen therapeutischen Nutzen zu erzielen.","Identifying early FD-specific pathologies is important in the context of maximum therapeutic benefit in these stages.",16,16
"1163","de","en","Eine ungenügende Liquordynamik kann dabei eine Rolle spielen, indem toxische Substanzen wie Aβ-Lipoprotein insuffizient aus dem Liquor entfernt werden.","Impaired cerebrospinal fluid dynamics and reduced clearance of Aβ amyloid might play a role in this process.",17,19
"881","de","en","An 12 der 36 Universitätskliniken gibt es keine Plastische Chirurgie.","In 12 of 36 university hospitals there is no kind of Plastic Surgery established.",14,10
"882","de","en","2015 wurden durch die 13 teilnehmenden Zentren 1476 Fälle interdisziplinär behandelt.","In 2015 participating 13 university hospitals treated 1476 interdisciplinary patients.",10,11
"872","de","en","Zusätzlich wurden graue Literatur und die Ergebnisse des FlexA Projektes zur Erstellung des HLF einbezogen.","In addition, grey literature and findings from the FlexA study were used to formulate the current guideline.",17,15
"972","de","en","In unseren Fällen, wie auch in der Literatur, war der Visus des von HBP betroffenen Auges schlechter als auf der anderen Seite, in der Regel ≤ 20/200.","In both our cases and those from the literature, VA was worse in the eye with HBP and was usually ≤ 20/200.",21,26
"1172","de","en","Bei Vorliegen einer auffälligen Familienanamnese sowie der Zusatzfragen an die Mutter des Blutungsfragebogens konnte ein signifikant erhöhtes Risiko für ein vWS nachgewiesen werden.","In case of a conspicious family history, especially of the mother in the bleeding questionnaire, a significantly increased risk for VWD could be observed.",24,23
"781","de","en","Bei Kindern, die sich über Nachtblindheit beschweren, muss eine PDE6Β-assoziierte RP in Betracht gezogen werden.","In children complaining of night blindness, a PDE6Β-associated RP needs to be taken into consideration.",15,15
"1032","de","en","Im Vergleich zur kindlichen Gruppe lag die Rezidivquote nach Direktnaht in der Erwachsenenchirurgie bei 12,9% (n = 4).","In comparison to the group of children, the recurrence rate in adult surgery was 12.9% (n = 4) after direct suture.",19,16
"783","de","en","Bei RP-Patienten mit einer PDE6Β-Mutation wird derzeit eine Phase-I/II-Studie durchgeführt (https://clinicaltrials.gov/ct2/show/NCT03328130).","In particular, in RP patients with a PDE6Β mutation, a phase I/II study is currently ongoing (https://clinicaltrials.gov/ct2/show/NCT03328130).",17,11
"1150","de","en","Auch beim primären Offenwinkelglaukom spielt der systemische Blutdruck eine Rolle.","In primary open-angle glaucoma, blood pressure is also of importance.",10,10
"1121","de","en","Bei ausgeprägten Blutungen ist jedoch meist eine Rethorakotomie erforderlich.","In severe cases, re-thoracotomy is mandatory.",6,9
"1093","de","en","Teilweise werden jedoch auch gegensätzliche Ergebnisse berichtet.","In some cases, opposite results have been reported.",8,7
"912","de","en","In der studentischen Ausbildung besteht in fakultativem Kleingruppenunterricht die Möglichkeit für eine intensive Auseinandersetzung mit zerebrovaskulären Krankheitsbildern und deren Therapie.","In student education there is the possibility for intensive examination of cerebrovascular diseases and their therapy in small group lessons.",20,20
"1074","de","en","Im Hinblick auf moderne Therapieverfahren fand die aktuelle Studienlage Berücksichtigung.","In terms of state-of-the-art therapies, relevant current studies were considered.",10,10
"1108","de","en","In der ausgebrannten fibrotischen Phase können ein Exophthalmus, Doppelbilder und eine Lidretraktion zurückbleiben, die ggf. mehrere rehabilitative chirurgische Eingriffe erfordern.","In the burnt out fibrotic phase exophthalmos, diplopia and lid retraction may remain, which can require multiple rehabilitative surgical interventions.",20,20
"917","de","en","Von weiteren technischen Fortschritten, die auch durch akademische Forschung vorangetrieben werden sollten, könnten in Zukunft auch erfahrene Interventionalisten profitieren.","In the future, even experienced interventionalists could benefit from further technical advances, which should also be driven by academic research.",20,19
"1070","de","en","In diesem Artikel werden einige Aspekte zum Thema Licht, Schlaf und Gesundheit in Erinnerung gerufen und praxisrelevante Zusammenhänge aufgezeigt.","In this article a few key facts concerning light, sleep and diseases are presented.",14,19
"1146","de","en","In diesem Beitrag werden physiologische und pathophysiologische Mechanismen rekapituliert.","In this article, physiological and pathophysiological mechanisms will be recapitulated.",10,9
"898","de","en","In dieser Übersichtsarbeit werden funktionale und mechanistische Überlegungen zur Verwendung dieser Antikörpervarianten diskutiert.","In this review, functional and mechanistic considerations on the use of these antibody variants will be discussed.",17,13
"943","de","en","In dieser Arbeit möchten wir den Aufbau unseres Sonografie-Kurses und die Implementierung in das Ulmer Kerncurriculum des Medizinstudiums vorstellen.","In this work, we would like to present the structure of our sonography course and its implementation in the Ulm core curriculum of medical studies.",25,19
"1137","de","en","162 Fragebögen konnten vollständig ausgewertet werden.","In total 162 questionnaires were analysed.",6,6
"995","de","en","Insgesamt 140 Kiefergelenks-MRTs wurden nach Untersuchung mit einem 3T-MR-System ausgewertet.","In total, 140 temporomandibular joints were examined using a 3 T MRI scanner.",12,10
"1013","de","en","Stationär aufgenommen Notfälle steigen im gleichen Zeitraum um 20%, wobei hier ältere Patienten den größten Anteil haben.","Inpatient emergency cases increased by 20% with older patients representing the largest group.",13,17
"955","de","en","Die interdisziplinäre klinische Anwendung dieser vaskulären Biomarker gewinnt zunehmend an Bedeutung, sowohl in der Augenheilkunde als auch in anderen Fachgebieten.","Interdisciplinary clinical application of these vascular biomarkers is becoming increasingly important in ophthalmology and other specialities.",16,20
"965","de","en","Es tritt ausschließlich bei seit Langem bestehendem, starkem Sehverlust auf.","It always occurs in an eye with longstanding, profound visual loss.",11,10
"864","de","en","Diese lässt sich oft klinisch nicht sicher von einer Behçet-Uveitis unterscheiden, solange keine systemischen Manifestationen vorliegen.","It is difficult to distinguish this clinically from Behçet uveitis, as long as there are no systemic manifestations.",18,16
"1161","de","en","Er ist auf seiner ganzen Länge von Liquor cerebrospinalis umspült.","It is surrounded by cerebrospinal fluid on its whole length.",10,10
"859","de","en","JS, also die Abwesenheit der deutlichen Abgrenzung zwischen der Plazenta previa und dem Gebärmutterhals, wurde mittels TV-Scans ausgewertet.","JS, i. e. the absence of the normal linear demarcation between the placenta previa and the cervix, was evaluated by TV scans.",20,18
"1076","de","en","Die Kenntnis aktueller Leitlinien und Handlungsempfehlungen sowie neuer therapeutischer Tendenzen und Ansätze ist essenziell zur suffizienten Behandlung von PAVK-Patienten.","Knowledge of existing guidelines and recommendations as well as new therapeutic approaches is essential for the adequate therapy of PAD patients.",20,19
"910","de","en","MATERIAL UND METHODEN/TECHNISCHE GRUNDLAGEN","MATERIALS AND METHODS/TECHNICAL BASICS",4,4
"831","de","en","Währenddessen wurde ihre Fixationsposition durch ein Eye-Tracking-System erfasst.","Meanwhile, their fixation position was recorded by an eye-tracking system.",10,8
"1035","de","en","Netzimplantationen sind im Kindesalter auch weiterhin nicht erforderlich.","Mesh implantation is still not necessary in childhood.",8,8
"1140","de","en","40- bis 49-jährige Patienten zeigten eine signifikant geringere Motivation als 20- bis 29-jährige und 50- bis 59-jährige Patienten.","Moreover 40- to 49-year-old patients were significantly less motivated to participate in a lecture than 20- to 29-year-old and 50- to 59-year-old patients.",23,18
"985","de","en","Zudem zeigte sich eine gute negative Korrelation der nativen T1-Zeit zu den Lyso-Gb3-Werten (r = – 0,582; p = 0,018).","Moreover, native septal T1 showed a good negative correlation to Lyso-Gb3 (r = - 0.582; p = 0.018).",13,15
"1145","de","en","Die neuronale Kontrolle des Blutdrucks wird über das vegetative Nervensystem vermittelt.","Neuronal blood pressure control is mediated by the autonomic nervous system.",11,11
"1162","de","en","Auf der Basis von neuroradiologischen Untersuchungen vermutet man, dass ein Normaldruckglaukom aufgrund eines neurodegenerativen Prozesses entstehen kann.","Neuroradiological examinations hint at a neurodegenerative origin of normal tension glaucoma.",11,17
"1117","de","en","Bis auf eine starke postoperative Blutung in einem Fall, die chirurgisch erfolgreich und folgenlos saniert werden konnte, traten keine schwerwiegenden Komplikationen auf.","No severe complications were seen, except for one case of postoperative bleeding, which was successfully managed surgically without any functional deficits.",21,22
"1101","de","en","Von den 2413 eingeschlossenen Befragten waren 2,7% ausländische Staatsangehörige und 4,4% deutsche Staatsangehörige mit Migrationshintergrund.","Of the 2,413 respondents surveyed, 2.7% were foreign nationals and 4.4% were German nationals with a migration background.",18,15
