"","language_a","language_b","a_text","b_text","sentence_length_b","sentence_length_a"
"293","fr","en","Dans le cas de l'infection à VIH (1027 personnes), nous avons défini tout autre trouble comme étant discordant.","For HIV infection (1027 people) we defined any other conditions as discordant.",11,17
"72","fr","en","Il faut réduire la stigmatisation et le handicap social associé à l’épilepsie pour améliorer la qualité de vie des patients.","For improving the lives of persons with epilepsy the stigma and social burden associated withepilepsy must be reduced.",18,20
"136","fr","en","À partir de cette observation, nous proposons de classer les traitements soit comme orthodoxes (validés scientifiquement) soit comme hétérodoxes (non validés scientifiquement).","From this observation, we propose to classify therapies as orthodox (scientifically validated) or heterodox (scientifically not validated).",17,22
"386","fr","en","Davantage d’études sont nécessaires afin d’évaluer l’intérêt de ces biomarqueurs comme facteur prédictif de la DPP et d’envisager des traitements complémentaires à l’antidépresseur.","Further studies are needed to assess these biomarkers value as predictive factors of PPD and to consider adjunct treatments to antidepressants.",21,23
"200","fr","en","Le genre influence la situation sociale, les conditions et les parcours de vie et les comportements en matière de santé qui influencent ensemble la santé.","Gender influences social position, living conditions as well as health behaviours over the life-course which all together influence health outcomes.",20,25
"65","fr","en","Les professionnels de soins de santé se sont déclarés prêts à suivre des cours de formation continue.","Healthcare professionals reported willingness to take continuing education courses.",9,17
"107","fr","en","La primo-infection est un moment critique en termes de risque de contagion des partenaires.","HIV primary infection is a critical time in terms of the risk of contagion of the partners.",17,14
"247","fr","en","L’immunothérapie prend de plus en plus de place définissant un nouveau standard pour le traitement des différents types de cancer.","Immunotherapy is gaining more and more place defining a new standard of care for different types of cancer.",18,20
"211","fr","en","Mise en oeuvre d’un programme d’enseignement interprofessionnel au Liban : surmonter les difficultés rencontrées.","Implementing an interprofessional education programme in Lebanon: overcoming challenges.",9,14
"366","fr","en","En outre, ils confèrent une immunité durable, avec le maintien de titres neutralisants d’anticorps plusieurs années après la vaccination.","In addition, they elicit long-lasting immunity, with virus-neutralising antibody titres persisting for years after vaccination.",15,19
"239","fr","en","La nécrose tubulaire aiguë est la première cause d’insuffi- sance rénale aiguë chez l’adulte.","In adults, acute tubular necrosis is the leading cause of acute kidney injury (AKI).",14,14
"47","fr","en","Avec d’autres facteurs de risque comme la surhydratation, la prise d’AINS augmente le risque d’hyponatrémie associée à l’exercice (HAE).","In association with other risks factors such as overhydratation, NSAIDs increase the risk of exercise associated hyponatremia (EAH).",18,19
"42","fr","en","A contrario, toute suspension ou interdiction d’exercice de la médecine prononcée par une juridiction répressive ou ordinale doit être inscrite au casier judiciaire.","In contrast, any suspension or medical practice prohibition, pronounced through a verdict of the court or a professional order, must be entered in the criminal record.",26,23
"315","fr","en","Au Maroc, nous ne disposons pas d’informations fiables sur la fréquence de l’hypothyroïdie congénitale (HC).","In Morocco we have no reliable information on the incidence of congenital hypothyroidism (HC).",14,15
"162","fr","en","Au Canada, au Mexique et aux États-Unis d’Amérique, la rage canine a sévi jusqu’au milieu du xxe siècle.","In the first half of the 20th century, rabies in dogs affected Canada, Mexico and the United States of America (USA).",21,18
"273","fr","en","En effet, l’âge maternel avancé est une cause majeure d’anomalie chromosomique et un facteur favorisant les grossesses gémellaires.","Indeed, advanced maternal age is a major cause of chromosomal abnormality and a promoting factor of twin pregnancies.",18,18
"352","fr","en","C’est pourquoi, il est fondamental d’investir dans le développement et la planification de ces personnels si l’on veut réaliser la couverture sanitaire universelle.","Investment in this workforce's development and planning is fundamental to achieving universal health coverage.",14,23
"183","fr","en","Le virus de la rage a fait preuve d’une incroyable capacité à exploiter différents hôtes aussi bien parmi les chiroptères que parmi les carnivores.","It is clear that RABV has been incredibly successful at exploiting diverse chiropteran and carnivore hosts.",16,24
"236","fr","en","Il est faisable d’implanter un système de mesure du rendement dans les PRFI, si le système est acceptable, approprié et utile pour les pourvoyeurs de soins.","It is feasible to implement a performance measurement system in LMICs if the system is acceptable, appropriate, and useful to providers.",21,26
"361","fr","en","Il s’agit d’un symptôme souvent peu spécifique et plusieurs étiologies sont à considérer.","It is not a specific symptom and several potential causes have to be considered.",14,13
"377","fr","en","Son étiologie est plurifactorielle et encore partiellement méconnue.","Its etiology is multifactorial and still partly unknown.",8,8
"48","fr","en","Cette atteinte est de plus en plus fréquente, en partie suite au développement des efforts de longue distance, mais son incidence reste inconnue.","Its frequency increases as the number of long distance events is increasing but it is still unknown.",17,23
"175","fr","en","Savoir délivrer nos soins est désormais aussi important que d’avoir les connaissances médicales !","Knowing how to deliver our care is now as important as having the medical knowledge !",15,13
"1","fr","en","Connaissance, attitudes, comportements et pratiques associés au diabète sucré au Koweït.","Knowledge, attitudes, behaviours and practices towards diabetes mellitus in Kuwait.",10,11
"38","fr","en","Les leçons tirées des essais pilotes ont été identifiées, y compris les défis liés au modèle lui-même et ceux associés à son implantation.","Lessons learned from pilot testing were identified, including challenges with the model itself and those associated with its implementation.",19,23
"9","fr","en","Le mode de vie, particulièrement parmi les citoyens koweïtiens et les personnes diabétiques, était sédentaire (47 % des participants marchaient moins de 20 minutes par jour).","Lifestyle, particularly among Kuwaitis and people with diabetes, was sedentary - 47% of participants walked < 20 minutes per day.",20,26
"330","fr","en","On dispose de données limitées au sujet du risque de délire postopératoire chez les patients soumis à une chirurgie d’urgence.","Limited data are available regarding postoperative delirium risk in the acute care surgical population.",14,20
"43","fr","en","Les fautes médicales ayant entraîné une sanction pénale peuvent être inscrites au casier judiciaire et donc suspendre une autorisation d’exercice de la médecine, sans sanction disciplinaire.","Medical blunders with criminal sanction can be entered on the criminal record and therefore suspend a permission to medical practice; even whithout a disciplinary sanction.",25,26
"225","fr","en","Peu de connaissance existe sur les facteurs influençant l’implantation d’un système de mesure du rendement, particulièrement dans les pays à revenu faible et intermédiaire (PRFI).","Minimal knowledge exists on the factors that affect implementation of performance measurement systems, particularly in low- and middle-income countries (LMICs).",20,25
"44","fr","en","Le fait de posséder un casier judiciaire vierge n’est pas une obligation législative ou réglementaire mais une exigence ordinale.","Must be free from criminal convictions is not a legislative or regulatory necessity but an ordinal requirement.",17,19
"35","fr","en","La répartition nationale des besoins a été estimée ainsi, soit niveau 1, 80,7%; niveau 2, 10,4%; niveau 3, 6,1%; niveau 4, 2,6%; niveau 5, 0,2%.","National distribution of need was estimated as Tier 1: 80.7%; Tier 2: 10.4%; Tier 3: 6.1%; Tier 4: 2.6%; and Tier 5: 0.2%.",23,25
"375","fr","en","Les auteurs estiment cependant que certains vaccins candidats pourront satisfaire à ces exigences.","Nevertheless, the authors are confident that some vaccine candidates will meet these criteria.",13,13
"368","fr","en","Seule l’adoption de solutions innovantes permettra de ramener l’incidence de la rage à un niveau acceptable.","New innovations are the only way to reduce rabies disease to acceptable rates.",13,16
"301","fr","en","Ils infectent toutes les tranches d’âge.","NoV affect people of all ages.",6,6
"369","fr","en","De nombreuses études précliniques et cliniques sont en cours, visant à tester les innovations en matière de vaccins, de modes d’injection et d’adjuvants.","Numerous preclinical and clinical studies are under way, testing novel vaccines, adjuvants and injection methods.",15,23
"280","fr","en","La profession infirmière en Égypte a évolué au cours des dernières décennies.","Nursing in Egypt has evolved over recent decades.",8,12
"156","fr","en","Sur les 1029 individus ayant parlé avec un conseiller, 1004 ont accepté de recevoir des conseils sur le VIH et 947 de se soumettre à un dépistage du VIH.","Of the 1029 who spoke with a counsellor, 1004 individuals accepted HIV counselling and 947 agreed to undergo an HIV test.",21,26
"155","fr","en","Sur les 1419 participants admissibles comptabilisés, 1049 (73,9%) étaient des individus de sexe masculin dont l'âge médian était de 18 ans.","Of the 1419 eligible participants counted, 1049 (73.9%) were male with a median age of 18 years.",16,18
"337","fr","en","Parmi les 322 patients inclus, 73 (22,7 %) ont manifesté un épisode de délire, dont 49 (15,2 %) un épisode plus long.","Of the 322 patients included, 73 (22.7%) were identified as having experienced delirium, with 49 (15.2%) experiencing longer episodes of delirium.",21,22
"374","fr","en","Seul un vaccin capable de surpasser les performances des vaccins actuels dans chaque domaine aura une chance d’être largement adopté.","Only a vaccine that outperforms currently available vaccines in every area will have a chance at widespread adoption.",18,20
"190","fr","en","Les autres données intégrées dans le modèle incluent la rémission naturelle, la rechute après le traitement, les coûts de services et les taux de mortalité.","Other model inputs include natural remission, relapse after treatment, service costs, and mortality rates.",14,25
"103","fr","en","Nos observations montrent que les biais de rappel au sujet des enjeux de sécurité en cours d’intervention sont extrêmement fréquents.","Our findings show that recall bias regarding surgical safety events is exceedingly common.",13,20
"376","fr","en","La Dépression du Post-Partum (DPP) affecte plus de 15% des nouvelles mères.","Postpartum Depression (PPD) affects over 15% new mothers.",8,12
"13","fr","en","Prévalence et déterminants de la pratique de la césarienne au Pendjab, Pakistan.","Prevalence and determinants of Caesarean delivery in Punjab, Pakistan.",9,12
"204","fr","en","L’encéphalomyélite rabique n’a jamais été notifiée chez des sujets ayant reçu à la fois une vaccination pré-exposition et un rappel post-exposition.","Rabies encephalomyelitis has never been reported in anyone who received both pre-exposure vaccination and a post-exposure booster.",17,21
"3","fr","en","Les taux de diabète au Koweït sont parmi les plus élevés au monde.","Rates of diabetes in Kuwait are among the highest in the world.",12,13
"308","fr","en","Des études récentes suggèrent qu’il faut lui rajouter une fonction supplémentaire: le stockage du sodium.","Recent studies suggest that a new function has to be added: the storage of sodium.",15,15
"56","fr","en","Des recherches ont déjà été menées dans plusieurs pays au regard des compétences requises pour gérer de façon efficace les organismes de soins de santé.","Research in various countries has previously investigated the competencies required for effective management of health care organizations.",17,25
"49","fr","en","Le risque d’insuffisance rénale aiguë est également aggravé par les AINS.","Risk of acute kidney injury increases also with the use of NSAIDs.",12,11
"313","fr","en","Dépistage de l’hypothyroïdie congénitale au Maroc : étude pilote.","Screening of congenital hyperthyroidism in Morocco: a pilot study.",9,9
"240","fr","en","Survenant secondairement à une ischémie et/ou une toxicité tubulaire, les lésions histologiques communément trouvées sont une desquamation cellulaires épithéliales tubulaire et des dépôts intratubulaires hyalins.","Secondary to ischemia and/or tubular toxicity, the commonly found histological lesions are desquamation of tubular epithelial cells and hyaline intra-tubular deposits.",21,25
"123","fr","en","Des interviews semi-structurées ont été menées.","Semistructured interviews were conducted.",4,6
"246","fr","en","Plusieurs études ont amené des résultats intéressants et offrent de nouvelles perspectives anticancéreuses.","Several studies have given impressive results and offer new anticancer perspectives.",11,13
"384","fr","en","Plusieurs thérapeutiques offrent des pistes intéressantes grâce à leur propriété anti-inflammatoire.","Several therapeutics provide interest due to their anti-inflammatory property.",9,11
"378","fr","en","Certaines hypothèses posent l’idée d’un lien avec l’inflammation.","Some hypotheses suggest a link with inflammation.",7,8
"83","fr","en","Les indices de retard de croissance, d’émaciation et de déficit pondéral obtenus étaient, respectivement, de 0,55, 0,57 et 0,79.","Stunting Index, Wasting Index and Underweight Index were 0.55, 0.57 and 0.79, respectively.",13,19
"27","fr","en","Les services liés à l’usage de substances ont traditionnellement été financés sans l’apport d’un modèle quantitatif global de planification étroitement ajusté aux besoins de la population.","Substance use services and supports have traditionally been funded without the benefit of a comprehensive, quantitative planning model closely aligned with population needs.",23,26
"138","fr","en","Le Suliqua® (iGlarLixi) est une combinaison, à ratio fixe, de l’insuline basale glargine U100 et d’un agoniste du récepteur du glucagon-like peptide-1 (GLP-1), le lixisénatide.","Suliqua® (iGlarLixi) is a fixed ratio combination of basal insulin glargine U100 and the glucagon-like peptide-1 (GLP-1) receptor agonist lixisenatide.",20,25
"140","fr","en","Suliqua® est actuellement remboursé, sous conditions, dans le traitement du DT2 insuffisamment contrôlé sous insuline basale associée ou non à des antidiabétiques oraux.","Suliqua® is currently reimbursed, under conditions, for the management of type 2 diabetes not well controlled with basal insulin associated or not with oral antidiabetic agents.",26,23
"340","fr","en","L’approche chirurgicale (ouverte c. laparoscopique) et la durée globale de l’intervention n’ont pas joué un rôle significatif.","Surgical approach (open v. laparoscopic) and overall operative time were not found to be significant.",15,17
"317","fr","en","La présente étude visait à évaluer la faisabilité d’un programme de dépistage néonatal de la maladie au Maroc.","The aim of our study was to explore the feasibility of a neonatal screening program for this disease in Morocco.",20,18
"59","fr","en","L’objectif de la présente étude était d’évaluer la perception des besoins par les personnels de soins de santé au Liban.","The aim of this study was to assess the perceived healthcare workforce needs at the management and clinical/practice levels in Lebanon.",21,20
"242","fr","en","L’association à une anamnèse évocatrice à la réversibilité de l’insuffisance rénale confirme le diagnostic de nécrose tubulaire aiguë.","The association of an evocative clinical context and a spontaneous improvement of the AKI confirmed the diagnosis of acute tubular necrosis.",21,18
"320","fr","en","La moyenne d’âge de dépistage est de 17,1 (écart type [ET] 6,6) jours et celle du début du traitement est de 43,4 (ET 8,7) jours.","The average age of testing was 17.1 ± 6.6 days and the start of treatment was 43.4 ± 8.7 days.",20,25
"363","fr","en","Le diagnostic repose souvent sur l’anamnèse et l’examen clinique, alors que la multiplication d’examens complémentaires peut augmenter la confusion diagnostique.","The diagnosis is often based on patient history and clinical examination, whereas the overuse of complementary investigations can lead to confusion.",21,20
"347","fr","en","Les effets de ces traitements ont été évalués en utilisant des tests de survie clonogénique et de viabilité cellulaire.","The effects of these treatments were assessed using clonogenic survival and cell viability assays.",14,19
"45","fr","en","Le but est, dans la plupart des cas, de diminuer une douleur déjà présente, voire même parfois en prévision d’éventuelles douleurs à venir.","The goal is to decrease pain or to prevent a potential pain.",12,23
"26","fr","en","Le gouvernement devrait faciliter l’accès aux établissements de soins de santé dans les régions faciles d’accès, notamment pour les femmes vivant dans les zones rurales.","The government should facilitate access to healthcare facilities in areas that are easily accessible, especially, to rural women.",18,25
"202","fr","en","La politique Santé2020 et les stratégies nationales spécifiques récentes en témoignent tout particulièrement.","The Health2020 policy and the recent specific national strategies are particularly illustrative.",12,13
"124","fr","en","Le guide de l’interview a été élaboré à partir d’une grille d’analyse préliminaire et d’une revue de la littérature.","The interview guide was developed based on a preliminary analytical framework and a review of the literature.",17,19
"304","fr","en","L’élément clé face aux infections à NoV est de limiter leur transmission.","The key element in front of NoV infection is limiting their transmission.",12,12
"309","fr","en","Le produit principal de la peau est la sueur.","The main product of the skin is sweat.",8,9
"271","fr","en","La prise en charge de ces cas compliqués consiste à effectuer un foeticide sélectif au premier ou au troisième trimestre de la grossesse.","The management of these complicated cases consists in performing a selective feticide in the first or third trimester of pregnancy.",20,23
"33","fr","en","Le modèle et l’analyse des écarts ont été testés dans neuf régions.","The model and gap analyses were piloted in nine regions.",10,12
"382","fr","en","Les plus étudiés sont la C-Réactive Protéine (CRP), les Interleukines 6 et 10, le Tumor Necrosis Factor-alpha et l’Interferon Gamma.","The most often studied are C-reactive protein (CRP), interleukins 6 and 10, tumor necrosis factor-alpha and interferon-gamma.",17,20
"345","fr","en","Les objectifs de cette étude étaient d’évaluer les effets in vitro de la radiothérapie et des bisphosphonates sur des cellules d’ostéosarcome canin en combinaison.","The objectives of this study were to assess the in vitro effects of radiation therapy and bisphosphonates on canine osteosarcoma cells when used in combination.",25,24
"258","fr","en","Le développement actuel des industries et des infrastructures en Arabie saoudite est associé à un risque élevé d’accidents du travail et de maladies professionnelles.","The ongoing industrial and infrastructural development in Saudi Arabia carries a high risk of occupational injuries/diseases.",16,24
"232","fr","en","L’appropriation générale de ce système était élevée.","The overall penetration of this system was high.",8,7
"95","fr","en","La présente étude souhaitait quantifier les biais de rappel relatifs aux détails des cas de chirurgie.","The present study aimed to quantify the recall bias associated with details from surgical cases.",15,16
"39","fr","en","Le processus d’estimation développé dans ce prototype canadien ainsi que les spécificités du modèle lui-même peuvent être adaptés à d’autres contextes territoriaux.","The process of estimation developed in this Canadian prototype, and the specifics of the model itself, can be adapted to other jurisdictions and contexts.",24,22
"243","fr","en","Le pronostic mime celui de l’insuffisance rénale aiguë de l’adulte et est le plus souvent sévère en termes de morbi- mortalité.","The prognosis mimics that of the AKI and is often severe.",11,21
"197","fr","en","Un impact similaire est observé sur les autres résultats.","The relative impact is similar for other outputs.",8,9
"324","fr","en","les résultats de notre étude soulignent la nécessité de la mise en place d’un programme de dépistage néonatal de l’hypothyroïdie congénitale au Maroc.","The results of our study support the need for the establishment of a neonatal screening programme for congenital hypothyroidism in Morocco.",21,23
"40","fr","en","Le bulletin n° 2 est accessible pour l’Ordre des médecins ou pour les centres hospitaliers dans le cadre des médecins travaillant dans le secteur public.","The second report is accessible to the French National Medical Council and to hospital administration for doctors working in the public healthcare sector.",23,25
"158","fr","en","La séroprévalence était de 2,7% (19/698) chez les individus de sexe masculin et de 8,9% (23/259) chez les individus de sexe féminin.","The seroprevalence was 2.7% (19/698) for males and 8.9% (23/259) for females.",12,22
"307","fr","en","La peau est le plus grand organe humain qui a des fonctions de protection, de thermorégulation et de sensation.","The skin is the largest human organ playing an important role in protection, thermoregulation and sensation.",16,19
"325","fr","en","Les traitements des cancers, voire de certaines maladies non tumorales ont amélioré le pronostic de ces pathologies.","The treatment used to treat cancer or other non-cancer diseases have improved the prognosis of these pathologies.",17,17
"245","fr","en","L’année 2018 a été extrêmement prolifique en termes de nouveautés.","The year 2018 has been incredibly prolific regarding novelties.",9,10
"41","fr","en","Il n’existe aucun texte instaurant précisément l’interdiction d’exercer la médecine avec un casier judiciaire non vierge.","There is no text establishing prohibition of medical practice with an infringement registered in the criminal record.",17,16
"359","fr","en","On ne saurait parler de développement des personnels si l’on ne dispose pas d’informations à ce sujet.","There is no workforce development without workforce intelligence.",8,17
"264","fr","en","Jusqu’en 2013, on observait une tendance globale à la baisse des accidents du travail et des maladies professionnelles.","There was a general decreasing trend in occupational injuries/diseases until 2013.",11,18
"111","fr","en","Les patients ayant les moyens et le soutien pour trouver un donneur vivant sont ainsi favorisés.","These efforts favor those who have the means and the support to find living donors.",15,16
"50","fr","en","Ces risques doivent être connus des médecins et des athlètes.","These risks have to be known by physicians and athletes.",10,10
"181","fr","en","Les passages les plus fréquents concernent des espèces de diverses familles du sous-ordre des Caniformes au sein des carnivores.","These shifts have most frequently been to species within families of the Caniformia suborder of carnivores.",16,19
"170","fr","en","Ils doivent également reposer sur une surveillance robuste des cas, sur des données phylogénétiques et sur une connaissance accrue de l’écologie des vecteurs.","They should also be informed by robust case surveillance, phylogenetics and an increased knowledge of vector ecology.",17,23
"250","fr","en","Cet article a pour but de résumer les nouveautés majeures survenues en oncologie pour 2018 concernant les cinq cancers les plus fréquents et l’immunothérapie cellulaire adoptive.","This article aims to summarize the significant new developments in oncology for 2018 concerning the five most common cancers and adoptive cellular immunotherapy.",23,26
"276","fr","en","Elle est caractérisée par une infiltration de l’interstitium rénal par des cellules inflammatoires, aboutissant à un oedème, des lésions tubulaires et une évolution vers la fibrose.","This disease is characterised by infiltration of renal interstitial tissue by in- flammatory cells, leading to oedema, tubulopathy and subsequent fibrotic lesions.",22,26
"310","fr","en","Cette découverte a motivé des études utilisant la transpiration stimulée comme traitement chez des patients souffrant d’insuffisance rénale ou cardiaque.","This finding has motivated studies investigating the effect of stimulated sweating on volume control in patients suffering from kidney disease or heart failure.",23,20
"274","fr","en","Il s’agit d’une condition sévère avec un taux de mortinatalité très élevé bien qu’il existe certains cas où les enfants survivent plusieurs années.","This is a severe condition with a very high stillbirth rate, even though there are certain cases where babies have managed to survive for several years.",26,23
"104","fr","en","Cela exerce sûrement un impact de taille sur l’intégrité des données présentées lors des CMM.","This likely has a major impact on the integrity of data presented at MMCs.",14,15
"117","fr","en","L’étude est une approche interprétative descriptive puisqu’elle dépasse la description et qu’elle est susceptible d’orienter la pratique clinique.","This study consists of an interpretive descriptive approach as it enables to move beyond description and inform clinical practice.",19,18
"173","fr","en","Cette étude vise à évaluer la fiabilité de résultats partiels par rapport au processus complet.","Through this study, we have aimed to assess the reliability of partial results.",13,15
"260","fr","en","La présente étude avait pour objectif de comparer les tendances des accidents du travail et des maladies professionnelles chez les travailleurs assurés saoudiens et non saoudiens.","To compare trends in occupational injuries and diseases among Saudi and non-Saudi insured workers.",14,26
"237","fr","en","Pour veiller à ce que ce système soit utile pour l’amélioration des services de traitement, l’implantation du système doit être optimale.","To ensure the utility of this system for treatment service strengthening, system implementation must be optimized.",16,21
"142","fr","en","Déterminer la prévalence et les corrélats du tabagisme en milieu de travail au moment de l’étude afin de mettre en oeuvre des interventions antitabac ciblées.","To identify the prevalence and workplace correlates of current smoking to enable targeted anti-smoking interventions.",15,25
"321","fr","en","Le suivi des cas mis sous traitement substitutif a montré une bonne évolution des paramètres anthropométriques et psychomoteurs.","Tracking cases brought under replacement therapy showed a good evolution of anthropometric parameters and psychomotor.",15,18
"303","fr","en","Le traitement des gastro-entérites virales est symptomatique.","Treatment of viral gastroenteritis is symptomatic.",6,7
"256","fr","en","Tendances des accidents du travail et des maladies professionnelles chez les travailleurs assurés saoudiens et non saoudiens.","Trends in occupational injuries and diseases among Saudi and non-Saudi insured workers.",12,17
